"1","Bulbasaur","001","Kanto forests and jungles","When Bulbasaur are born, their mothers plant seeds on their backs. The plants form symbiotic relationships with their hosts, growing alongside the Pokémon and providing them with sustenance. By lying about in the sun, Bulbasaur allow the plants on their backs to photosynthesize and produce energy, which they can then use for themselves. The plants are able to become mobile by virtue of their active hosts, allowing them to move out of shaded areas and thus benefiting them as well. Additionally, Bulbasaur can utilize their plants to perform Grass- and Poison-type attacks such as Razor Leaf and Poison Powder. The attacks protect both the Pokémon and the plants from harm. In the wild, Bulbasaur tend to be very rare, as they are shy creatures that prefer the company of their own kind. However, they are also generally very docile, tame, and loyal to people that they trust, and for that reason are one of the species of Pokémon available for starting trainers to choose in the region of Kanto.","﻿Evolves into Ivysaur at Lvl 16Ivysaur evolves into Venusaur at Lvl 32","Grass/Poison"," 2'04\" | 0.7 m"," 15.2 lbs | 6.9 kg"," Overgrow |"," "," Monster | Grass"," Monster | Grass","
			Caution
		"
"188","Skiploom","188","Above forests, fields, and mountains","Skiploom have flowers that spin like pinwheels as they float across the sky. They ride the wind to get closer to the sun, where their petals will open to allow them to absorb sunlight and photosynthesize. Depending on the temperature, their flowers will open up to various degrees; they fully bloom at 64°F (18°C). Because of this, some trainers use Skiploom as natural thermometers, gauging the air temperature based on how open their flowers are. In particularly cold weather, their flowers close up completely and their floating abilities are severely hampered. Excessive water can also be detrimental to Skiploom. Because they cannot remain airborne when soaked, they will hide in the shade of trees during rainfalls to avoid getting wet. They are naturally easygoing and friendly Pokémon. Skiploom rarely attack, even when threatened, instead preferring to escape on the next breeze. However, they are capable of incapacitating foes when necessary with debilitating moves such as Stun Spore, Sleep Powder, and Leech Seed.","﻿Evolves from Hoppip at Lvl 18Evolves into ﻿Jumpluff﻿ at Lvl 27","Grass/Flying"," 2'00\" | 0.6 m"," 2.2 lbs | 1.0 kg"," Chlorophyll | Leaf Guard |"," "," Fairy | Grass"," Fairy | Grass","
			Caution
		"
"189","Jumpluff","189","Above forests, fields, and mountains","Upon evolution, Jumpluff finally gain control of their flight paths. Rather than simply floating aimlessly in the wind, they can direct their cotton puffs to float in whatever direction and speed they choose. They are capable of withstanding strong gales and are able to circumnavigate the world on sustained trade winds. As winter approaches, Jumpluff soar in large clusters across oceans on southern winds, landing whenever they encounter cooler breezes. Because they are very agile, they prefer to escape confrontation on the wind rather than confront foes. However, should they for whatever reason  be unable to escape, they can utilize the move Cotton Spore to slow down opponents, buying them time to flee. During mating season, Jumpluff of both genders (or just the males in captivity) begin releasing spores from their puffs. Male spores will fertilize female eggs, which they will lay in covered piles of leaves. Female spores can also develop independently into Hoppip, though these are genetically identical to their mothers.","Hoppip evolves into Skiploom at Lvl 18Evolves from Skiploom at Lvl 27","Grass/Flying"," 2'07\" | 0.8 m"," 6.6 lbs | 3.0 kg"," Chlorophyll | Leaf Guard |"," "," Fairy | Grass"," Fairy | Grass","
			Caution
		"
"190","Aipom","190","Forests, jungles","Aipom make their homes in tall treetops, rarely descending to the ground--in fact, some individuals live their whole lives without ever touching the forest floor. Aipom use their prehensile tails to swing from tree branch to tree branch, using momentum to leap around. They can suspend their entire bodies and latch onto branches with just their tails. These tails are highly dextrous, able to manipulate objects around them as tools. Young Aipom, for example, may play-fight each other with makeshift “swords” fashioned from branches and leaves. Older Aipom can be seen whittling down wood to form rudimentary stakes, useful for spearing into the hard shells of some fruits, nuts, and Berries. In Alola, their favorite prey is in fact the hapless Bounsweet. Aipom use their tails to grab hard-to-reach fruit in trees, and may even shake some fruit off of their branches for younger Aipom below to enjoy. Their tails are also used to keep them balanced. Aipom use their tails so extensively and exclusively, in fact, that their true hands have become vestigial and more or less useless over many years of evolution.","﻿Evolves into Ambipom when leveled up while knowing Double Hit","Normal"," 2'07\" | 0.8 m"," 25.4 lbs | 11.5 kg"," Run Away | Pickup |"," Keen "," Field"," Field","
			Caution
		"
"191","Sunkern","191","Fields, meadows","Sunkern are among the weakest of all currently known Pokémon. Most members of the species are aware of this--Sunkern rarely ever move, conserving all the nutrients they obtain from sunlight and dewdrops (the only things that Sunkern consume, as they don’t eat) in preparation for evolution. In fact, if attacked, they likely will only attempt to shake their leaves weakly at their opponents. They often will seek shelter and protection within treetops, nestling themselves in the nooks and crannies of branches and leaves. In the morning, Sunkern can commonly be seen dropping ​down onto the ground out of the blue, blown off by strong breezes. They rely almost entirely on the sun, its light, and its warmth to supply the primary factors in their growths. During cooler, cloudier summers, Sunkern will go into hibernation and seem to disappear entirely. Then, the following year, if the summer weather improves, Sunkern populations will appear to explode as masses of hibernating Sunkern reawaken to bask in the warm sunlight.","﻿Evolves into Sunflora with a Sun Stone","Grass"," 1'00\" | 0.3 m"," 4.0 lbs | 1.8 kg"," Chlorophyll | Solar Power |"," "," Grass"," Grass","
			Caution
		"
"192","Sunflora","192","Fields, meadows","Sunflora are diurnal Pokémon; their activity follows the position of the sun in the sky. In the morning, Sunflora begin to stir, opening their petals and turning to face the rising sun. In the afternoon, when the sun is highest in the sky, they move around actively, almost frantically, following the sun as it travels. They slow down again at sunset; then, when night falls, Sunflora close their petals and become completely immobile, repeating the cycle again the next day. The color of a Sunflora’s petals also reflects the sun. The brighter and warmer the sunlight that shines on it is, the more vivid its petals become. Oddly, this reaction does not occur when Sunflora are exposed to artificial sunlight, instead only happening when they are bathed in the unfiltered, natural light of the sun. Sunflora subsist almost entirely on sunlight and water, photosynthesizing sugars to create energy for themselves. Though they acquire some trace nutrients by absorbing them from the soil that they tread upon, they obtain the bulk of their consumed energy from the sun. ","﻿Evolves from Sunkern with a Sun Stone","Grass"," 2'07\" | 0.8 m"," 18.7 lbs | 8.5 kg"," Chlorophyll | Solar Power |"," "," Grass"," Grass","
			Caution
		"
"193","Yanma","193","Woodlands, swamps","Yanma are some of the most agile fliers in the world. They can fly in any direction: forwards, backwards, up, down, left, and right; they can even hover in place. They flap their wings extremely quickly; to defend themselves, Yanma can increase the speed of their flapping to generate shock waves and stun foes. These waves are strong enough to shatter glass windows. Their compound eyes can turn 360°, allowing them to see in virtually any direction. This is useful when Yanma are hunting their preferred prey--insects. Yanma are very territorial against other Yanma, defending their domains from intruders with attacks like Sonic Boom and Bug Buzz. They primarily reside in humid swamps and marshes, though they can also be found in damper woodlands. Yanma catch insects in their strong mandibles, oftentimes grabbing them out of the air mid-flight and carrying them back to their nests to feed upon in private. They use the two long growths on either end of their tails to remain balanced as they quickly dart around in search of food.","﻿Evolves into Yanmega when leveled up while knowing Ancient Power","Bug","/Flying"," 3'11\" | 1.2 m"," 83.8 lbs | 38.0 kg"," Speed Boost | Compound Eyes |"," Bug"," Bug","
			Caution
		"
"194","Wooper","194","Ponds, lakes, rivers, marshes","Wooper make their homes in cooler areas of fresh water. Though they prefer brisk rivers and ponds, they have a low tolerance for icy waters and subzero temperatures. As amphibians, Wooper are able to survive both in water and on land. In fact, they alter their hunting patterns from water to land based on the weather; when it is cooler, such as in the evening, Wooper will hunt terrestrially, but when it is warmer, like during the day, they will hunt aquatically. They cover themselves with a slimy film to stay moist outside of the water. This film is poisonous; Wooper will often leave trails of this slime walking around on land. While contact this film can cause searing pain, it is not fatal. The growths on the sides of their heads are in fact gills; individuals with larger gills are considered more attractive to mates. When resting, Wooper will bury themselves in the sand to hide from predators. Some populations have been observed to cease development in this form, never evolving into Quagsire during their lifespans.","﻿Evolves into Quagsire at Lvl 20","Water/","Ground"," 1'04\" | 0.4 m"," 18.7 lbs | 12.0 kg"," Damp | Water Absorb |","Unaware","Unaware","
			Caution
		"
"195","Quagsire","195","Ponds, lakes, rivers, marshes","Quagsire are famous for their lax and easygoing natures. They rarely move; when they do, though, they swim in slow and relaxed manners. Quagsire will often bump into nearby objects as they swim, including boulders and boat hulls. However, they are unfazed by these collisions, in part due to their strong skulls. Even when hunting, Quagsire remain at ease. They don’t move in search of food; instead, they simply remain in one place and hold their mouths agape, waiting for unwary prey to swim through. Then, they just close their mouths to catch their food. Although it isn’t a terribly efficient manner of hunting, this technique suffices for Quagsire since they expend very little energy in the first place. Though their bodies are just as slimy as those of Wooper, Quagsire slime is not poisonous like that of their pre-evolutions. Scientists believe that Wooper poison is simply a temporarily evolutionary development adapted by the species to protect themselves while still young and vulnerable.","﻿Evolves from Wooper at Lvl 20","Water/","Ground"," 4'07\" | 1.4 m"," 165.3 lbs | 75.0 kg"," Damp | Water Absorb |","Unaware","Unaware","
			Caution
		"
"196","Espeon","196","Urban towns and cities","Eevee who feel a particularly strong emotion and are active during the day evolve into Espeon. Espeon are skilled at prediction, able to foretell events before they occur. When their forked tails quiver, they are deep in thought conjecturing what will happen next. Their superfine fur, which feels like velvet, can detect minute air currents and help them predict the attacks of foes. Some say they can even read the thoughts of enemies in a similar fashion. This ability to detect air currents also makes Espeon reliable forecasters of the weather. Their large ears aid them in their predictions, allowing them to hear the slightest sounds. Espeon are extremely loyal to their trainers. They will not hesitate to defend them with the powerful Psychic if necessary. The gems on their heads glow when they use their abilities, and are in fact said to be the source of their powers. They will dull when Espeon are weakened or ill. In popular culture, Espeon are connected with the sun and daylight, likely due to their conditions for evolution. It is said that it gathers psychic energy in its gem through sunbathing, making them poor battlers in the dark of night.","Evolves from Eevee with high happiness during the dayEevee can also evolve into Vaporeon with a Water Stone, Jolteon with a Thunder Stone, Flareon with a Fire Stone, Umbreon with high happiness during the night, Leafeon when leveled near a Moss Rock, Glaceon when leveled near an Icy Rock, or Sylveon with high affection while knowing a Fairy-type move","Psychic"," 2'11\" | 0.9 m"," 58.4 lbs | 26.5 kg"," Synchronize |"," Magic Bounce"," Field"," Field","
			Caution
		"
"197","Umbreon","197","Urban towns and cities","Eevee who become particularly passionate and prefer the night will evolve into Umbreon. Umbreon naturally stir feelings of unease in those around them. They lurk in darkness, luring inprey and unsettling them simply by their mere presences. Just before they attack, their rings will glow dimly. These rings react in the presence of moonlight, glowing faintly when exposed to it; Umbreon seem to become stronger under these conditions. They glow brightest under a full moon, coincidentally also the time when Umbreon are the strongest. The rings will also glow when Umbreon experience strong emotions like happiness or anger. When agitated, Umbreon will sweat a poisonous substance from their pores and spray it in the eyes of foes, paralyzing them in minutes. They aim for the throats of prey when hunting. They are very protective of their trainers and will chase aggressors with Pursuit. Many associate Umbreon with the moon and nighttime, considering their evolutionary conditions and purported ability to draw power from moonlight.","Evolves from Eevee with high happiness during the nightEevee can also evolve into Vaporeon with a Water Stone, Jolteon with a Thunder Stone, Flareon with a Fire Stone, Espeon with high happiness during the day, Leafeon when leveled near a Moss Rock, Glaceon when leveled near an Icy Rock, or Sylveon with high affection while knowing a Fairy-type move","Dark"," 3'03\" | 1.0 m"," 59.5 lbs | 27.0 kg"," Synchronize |"," Inner Focus"," Field"," Field","
			Caution
		"
"198","Murkrow","198","Woods, cities, swamps, forests","Murkrow are reputed to be bringers of ill fortune. They enjoy playing pranks on passerby, though their definitions of “prank” may be more sinister than the traditional one. Murkrow will aggravate travelers into chasing them and then lead them down winding paths in dark forests before simply flying away, leaving them stranded and lost in the middle of nowhere. Urban Murkrow play similar tricks on people in dark alleyways in sketchy neighborhoods. They enjoy collecting shiny things; there are reports of Murkrow swooping down from the sky and snatching rings right off the hands of newlyweds. This puts them in direct competition with another urban thief, Meowth. The two often steal from each other’s hoards. People who come across either of their stashes will commonly find stolen objects dating back decades. In badlands, they are also known to infiltrate  Gabite hoards in search of treasure. Murkrow are often underlings for their evolutions Honchkrow, stealing for their their bosses’ hoards. Because they are nocturnal, parents often warn their children to “get home before the Murkrow fly.”","Evolves into Honchkrow with a Dusk Stone","Dark/Flying"," 1'08\" | 0.5 m"," 4.6 lbs | 2.1 kg"," Insomnia | Super Luck |"," Prankster"," Flying"," Flying","
			Caution
		"
"199","Slowking","199","Riversides, lakesides, beaches","Unlike their pre-evolutions, Slowking are extremely intellectual, on par with the world’s leading scientists. However, they maintain the calm demeanors of Slowpoke and can remain cool and collected in nearly any situation. Scientists think that the toxin secreted into their brains by the transformed Shellder latched on their heads is the source of their brainpower. Every time Slowking yawn, the attached Shellder inject more toxin into their brains, increasing their thinking capacities. Slowking enjoy conducting research, often managing their own studies separately from their trainers. When they have intuitive thoughts, the gems on their shells will light up. Curiously, their knowledge appears to somehow be stored in the Shellder on their heads; if these Shellder ever become dislodged and fall off, Slowking lose all the information they had learned from their studies, reverting to the same intellectual level as Slowpoke; reattaching the Shellder will restore their wit. Humorously, some say that a vestige of Slowpoke's dimwittedness remains, and Slowking are cursed to always forget truly world-changing ideas as soon as another dawns on them. Some island cultures worship Slowking as all-knowing shamans, referring to them as \"sages of the sea\". They are known to engage in what seem to be battles of wit or discussions with Oranguru, which usually end in draws.","Evolves from Slowpoke through trade with a King's RockSlowpoke can also evolve into Slowbro at Lvl 37","Water","/","Psychic"," 6'07\" | 2.0 m"," 175.3 lbs | 79.5 kg"," Regenerator"," Regenerator","
			Caution
		"
"200","Misdreavus","200","Woods, forests, caves","Misdreavus live in dark, dreary forests and caves. They startle unwary travelers to feed on their fear, which they store in the red orbs around their necks. It is said that one can hear shrieking emanating from these orbs if one sets his or her ears next to them. In order to elicit the emotions they require to feed, Misdreavus may try a variety of tactics. The simplest trick they use is materializing right in front of travelers to startle them. Other ploys include pulling hair, lighting up their orbs in total darkness, and laughing maniacally under cover of the night. Their most famous tactic, however, is letting loose unearthly howls, screams, cries, or wails that can be heard for miles, thoroughly disturbing any living beings that are unfortunate enough to hear them. Misdreavus appear to take pleasure in creating mischief, sometimes playing tricks on others just for fun and not even feeding on the subsequent emotions that they cause. Conversely, they can get upset when confronted with individuals that they are unable to scare. They are solely nocturnal and will sleep in dark caves and tree hollows during the day. In fact, Misdreavus appear to be actively harmed by rays of sunlight, becoming extremely lethargic and dull when exposed to it.","Evolves into Mismagius with a Dusk Stone","Ghost"," 2'04\" | 0.7 m"," 2.2 lbs | 1.0 kg"," Levitate"," Amorphous","Overview","Overview","
			Caution
		"
"201","Unown","201","Ruins and temples","Unown are very odd Pokémon. They are often found stuck to the walls of ancient ruins, flying off and orbiting each other when touched or otherwise disturbed. Unown come in 28 different forms, each resembling a letter of the Latin alphabet (and two resembling punctuation marks); it is unknown whether Unown or the written language came first. Ancient hieroglyphs found in ruins seem to indicate the former, as the carvings appeared to mimic the body shapes of the different forms of Unown. Unown appear to act with a hive mind, though researchers are not yet sure how they communicate, though electromagnetic waves and telepathy seem to be the most likely candidates. A single Unown is rather weak alone, but when two or more are near each other, strange phenomena begin to occur. Reports of reality warping, wish-granting, and other bizarre activities have been traced back to large swarms of Unown. These Pokémon are believed to be connected with many elusive legendaries, as well as the mysterious secrets of the universe itself.","​Pokémon and all associated names and characters are trademarked and © 1995-2019 Nintendo. All non-original images are provided by Bulbapedia, © 1995-2019 Nintendo.No copyright infringement intended.","Psychic"," 1'08\" | 0.5 m"," 11.0 lbs | 5.0 kg"," Levitate"," Undiscovered","Overview","Overview","
			Caution
		"
"202","Wobbuffet","202","Dark caves and forests","Wobbuffet almost never attack foes without provocation. In fact, they prefer to avoid confrontation entirely, sheltering themselves away from most other Pokémon. They hate light and shock, living in dark caves and forests that receive almost no light at all. When Wobbuffet are attacked, they inflate themselves and counter; even so, they won’t attack again unless their foes are unwise enough to attack twice. Their unconfrontational natures can have rather humorous side effects. Wobbuffet are territorial Pokémon, but will refuse to attack unless struck first. Thus, when two Wobbuffet meet, they will have a stand-off of sorts, refusing to budge before the other. Such duels quickly become fasting contests. One notable exception to their passiveness is when it comes to defending their tails. They will ferociously attack anyone who threatens them and will go to great lengths to keep them concealed in darkness (such as only leaving their caves at night). It is said these tails hold some sort of deep secret about Wobbuffet.","﻿Evolves from Wynaut at Lvl 15","Psychic"," 4'03\" | 1.3 m"," 62.3 lbs | 28.5 kg"," Shadow Tag |"," Telepathy"," Amorphous"," Amorphous","
			Caution
		"
"203","Girafarig","203","Plains, savannas, near mountains","Girafarig are most well-known for their two heads--an actual head and a rear head--both of which have their own separate brains. The brains in their true heads are far more developed and are the main source of their psychic powers; their rear heads are rather primitive and can only focus on one object at a time. The two brains appear to be connected in some manner. When Girafarig graze on grass and tree shoots, their rear heads mimic the chewing motions the true heads make even though they aren’t actually eating anything. Similar behavior can be observed when Girafarig vocalize, spit, yawn, or otherwise use their mouths. Though the rear heads have rudimentary brains, they also have very well-developed senses of smell. They react to particularly alluring scents by lashing out and biting. This enables Girafarig to fend from threats approaching from behind. Their rear heads don’t need sleep. Thus, they are able to keep watch and defend against enemies even when the main heads are resting.","​Pokémon and all associated names and characters are trademarked and © 1995-2019 Nintendo. All non-original images are provided by Bulbapedia, © 1995-2019 Nintendo.No copyright infringement intended.","Normal","/Psychic"," 4'11\" | 1.5 m"," 91.4 lbs | 41.5 kg"," Inner Focus | Early Bird |"," Field"," Field","
			Caution
		"
"204","Pineco","204","Forests, in trees","Pineco make their homes under the branches of trees, attaching themselves with a sticky, resinous fluid they produce from their bodies. They also uses this fluid to attach pieces of tree bark to themselves, creating thicker, makeshift shells that protect them from avian Pokémon who mistake them for actual pinecones. Older individuals can construct huge shells this way, with some surrounding themselves with so much bark that the branches supporting them begin to sag or even break. Pineco don’t move much, sticking to the same branch until evolution. They remain sedentary and feed upon unsuspecting insects that land on the bark surrounding them and become trapped in the sticky fluid they secrete. This resin is fragrant, smelling like the pine trees they are often found on. Multiple Pineco can often be found living in a single tree, sometimes even on the same branches. When such trees are disturbed, Pineco are known to drop off of their branches in order to defend their neighbors. They can spontaneously ignite their resin and explode, sending pieces of their bark casings everywhere like shrapnel.","﻿Evolves into Forretress at Lvl 31","Bug"," 2'00\" | 0.6 m"," 15.9 lbs | 7.2 kg"," Sturdy |"," Overcoat"," Bug"," Bug","
			Caution
		"
"205","Forretress","205","Forests, in trees","Forretress have shells that are steel-hard. Like Pineco, they are largely sessile, living out their lives almost entirely in a single tree. However, while Pineco prefer to live in branches, Forretress makes their homes in the nooks and crannies of tree trunks. They are insectivores, catching bugs that are attracted to the scent of Pineco resin around them. Forretress can no longer produce this rein themselves, however, so they are always found within trees of Pineco colonies. Researchers are baffled by the contents of their shells. Forretress carapaces are impenetrable even by the marvels of modern science. They only crack open just barely wide enough to catch prey, and do it so quickly that the motion is practically invisible to the naked eye. Though Forretress can still explode like Pineco, they prefer to defend themselves with Spikes. Their shells naturally chip from outside weather conditions--by periodically spinning rapidly, they can dislodge sharp, broken pieces of their shells onto the ground below to deter predators from approaching. This maneuver is in fact a defensive reflex that triggers instinctually whenever Forretress are startled.","﻿Evolves from Pineco at Lvl 31","Bug","/","Steel"," 3'11\" | 1.2 m"," 277.3 lbs | 125.8 kg"," Overcoat"," Overcoat","
			Caution
		"
"206","Dunsparce","206","Caves","Dunsparce are troglobites, living out their entire lives in pitch-black caves (some populations are confirmed to be trogloxines, sometimes venturing outside their caverns). They are very nearly blind, using the two protrusions on the undersides of their lower jaws to feel their way around in total darkness. When threatened, they will burrow backwards into the earth using their drill-like tails. Dunsparce form very intricate subterranean nests, living in in colonies (called “broods”) numbering in the hundreds. Predators who are able to follow Dunsparce down their holes as they burrow to escape will be met with near-inescapable mazes of intersecting tunnels. In some regions, they even cohabitate peacefully with Diglett and share their tunnel networks. Dunsparce also have pairs of vestigial wing growths located on their backs. Though they are very weak, Dunsparce can be trained to float a few centimeters off the ground for several seconds by flapping these growths furiously. However, they are unable to actually take off and fly in the air, and are normally left very exhausted by the sheer effort required to even lift slightly off of the ground.","​Pokémon and all associated names and characters are trademarked and © 1995-2019 Nintendo. All non-original images are provided by Bulbapedia, © 1995-2019 Nintendo.No copyright infringement intended.","Normal"," 4'11\" | 1.5 m"," 30.9 lbs | 14.0 kg"," Serene Grace | Run Away |"," Rattled"," Field"," Field","
			Caution
		"
"207","Gligar","207","Mountains, deserts, forests, cliffsides","Gligar cling to steep cliffsides when resting, digging their pincers and claws into the rocky mountainside to hold on. They travel by gliding on favorable winds; though they can journey very far with this method, they are unable to truly “fly” like most avians, and do not flap their “wings” like them either. Gligar live in colonies of roughly a dozen individuals, all nesting on the same cliff. To hunt, Gligar soar in search of suitable prey, dropping down below when they find some. Then, they stretch out all of their limbs and dive at the faces of their victims. They latch on with their pincers and then use their stingers to inject poison and paralyze prey; then, they carry their meals back to their nests without resistance. Gligar can glide perfectly silently, so their victims often never see them coming. Trained Gligar are known to use this face-hugging habit as a form of affection with their trainers, sans the digging of claws into the flesh and the injection of poison into their trainers’ foreheads (though there have been some accidents reported).","Evolves into Gliscor when leveled up at night with a Razor Fang","Ground","/Flying"," 3'07\" | 1.1 m"," 142.9 lbs | 64.8 kg"," Hyper Cutter | Sand Veil |"," Bug"," Bug","
			Caution
		"
"208","Steelix","208","Mountains, subterranean caves and tunnels","While Onix form subterranean tunnels dozens of meters below the surface, Steelix have been recorded to dig out trails nearly a kilometer underground. The immense pressure of the earth above at this level can crush most living organisms. However, their bodies are in fact harder than diamond, compressed by the extreme pressure of their habitats. A common legend is that Onix living to be over 100 years will have experienced enough force to compress their bodies and become Steelix. In the wild, scientists believe that age has little to do with their evolutions; Onix evolve into Steelix as they eat through rock and absorb the iron within. Combined with intense pressure, their bodies eventually turn dense and metallic (such a process can be domestically replicated with Metal Coats). Their eyes are adapted to see in the dark, and their strong jaws can crunch through even the hardest boulders. Their bodies are speckled with thousands of tiny, reflective particles from the minerals they eat. These particles sparkle beautifully in the sun.","Evolves from Onix through trade with a Metal Coat​Can Mega Evolve into Mega Steelix","Steel","/"," 30'02\" | 9.2 m"," 881.8 lbs | 400.0 kg"," Rock Head | Sturdy | Sheer Force"," Mineral"," Mineral","
			Caution
		"
"209","Snubbull","209","Urban towns and cities, forests","Snubbull are popular pets among women, particularly the wealthy and elderly. Considered “cute” by some, they are more commonly described as “hostile-looking.” Indeed, Snubbull are known to bare their fangs and use Scary Face often. However, this in fact appears to be their instinctive reaction to a variety of different stimuli—fear and aggression, obviously, but also embarrassment, boredom, and general discomfort. Unfortunately for Snubbull, though, their expressions often drive other Pokémon away from them, leaving them sad and dejected. Snubbull are in fact affectionate and playful, which is why they are such popular pets. They are also easily scared or bullied; though they may bare their fangs to scare foes, they will flee and cower if they remain undeterred. Snubbull have keen senses of both smell and hearing; they often use these skills to track down “gifts” for their owners, ranging from food scraps to smaller Pokémon that they can pull with their mouths. Snubbull are heavy sleepers, dozing for 12 hours each day. These Pokémon have made a resurgence in popular with younger generations, who seem to be amused by the disparity between their appearances and their personalities.","﻿Evolves into Granbull at Lvl 23","Fairy"," 2'00\" | 0.6 m"," 17.2 lbs | 7.8 kg"," Intimidate | Run Away |"," Rattled"," Field | Fairy"," Field | Fairy","
			Caution
		"
"210","Granbull","210","Urban towns and cities, forests","Granbull, as the saying goes, are “all bark and no bite.” They threaten foes by opening their mouths wide and baring their fangs, which is enough to send most foes fleeing in fear. However, if the confrontation continues, they will cower and run away. If cornered, rather than attacking, they will simply flail their limbs about wildly. They avoid actual fighting unless absolutely necessary. Their bites, however, are in fact extremely powerful, strong enough to crush concrete. There is one situation, though, where Granbull will attack ferociously: when their loved ones are threatened. If their offspring, friends, or other that Granbull care for are threatened, they will attack in blind rages against the offenders. This curious aspect of their personalities--docile unless they sense threats--make them great guards within domestic homes. However, they are far less useful when defending properties, as they will avoid conflict if no lives are at stake. Still, their loyalty makes them popular pets. Their fangs are so heavy that they can sometimes be seen with their heads leaned over from the sheer weight of their jaws. Conversely, Granbull can also be seen tilting their heads backwards to counteract this weight.","﻿Evolves from Snubbull at Lvl 23","Fairy"," 4'07\" | 1.4 m"," 107.4 lbs | 48.4 kg"," Intimidate | Quick Feet |"," Rattled"," Field | Fairy"," Field | Fairy","
			Caution
		"
"211","Qwilfish","211","Open ocean","Qwilfish swim in the open ocean, far away from the shore. They are extremely poisonous; anything pierced by their sharp spines will be injected a their paralyzing toxins, which can knock an adult man unconscious within seconds. These spikes are in fact specialized scales, which hardened and became sharper over time through evolution. To defend themselves, Qwilfish quickly swallow large amounts of water (2.6 gallons on average) and inflate themselves to up to twice their original sizes, hoping to match their foes in stature. In this state, they can launch the spikes off of their bodies to spear and inject enemies with their toxins. While inflated, however, Qwilfish experience much trouble swimming; though they are already not very good swimmers when deflated, they often will fail to move at all when fully inflated, simply floating along in the ocean currents until they expel all of their water. Qwilfish are territorial and will engage in inflation contests to see who can grow the largest. Generally, individuals float away in currents before winners can be determined.","​Pokémon and all associated names and characters are trademarked and © 1995-2019 Nintendo. All non-original images are provided by Bulbapedia, © 1995-2019 Nintendo.No copyright infringement intended.","Water","/Poison"," 1'08\" | 0.5 m"," 8.6 lbs | 3.9 kg"," Swift Swim | Poison Point |"," Water 2"," Water 2","
			Caution
		"
"212","Scizor","212","Grasslands, forests, woodlands","Also known as the Scissors Pokemon, Scizor have exoskeletons made out a material as hard as titanium. Their pincers are strong enough to pulverize stone, and in fact contain an alloy very similar to actual steel; they are actually more suited to pummeling foes than grasping them. Scizor are calculated, relentless hunters that will not let prey flee once spotted. The eyespots on them make them resemble second and third heads; Scizor wave theses claws around while opening and closing them in order to intimidate foes. Upon evolution from Scyther, Scizor lose their ability to fly. Instead, they use their wings to regulate their body temperatures, flapping at varying speeds to warm themselves up or cool themselves down. Though rare in the wild, they can occasionally be found living solitarily in grasslands and forests; they dislike tropical climates, unlike Scyther. Also unlike their pre-evolutions, Scizor don’t dwell in packs and will stake out large swathes of land for themselves. They will duel with other Scizor and Scyther packs to protect their territories. Scyther that evolve in the wild are immediately shunned from their packs, forced to find their own land and fend for themselves.","Evolves from Scyther through trade with a Metal Coat​Can Mega Evolve into Mega Scizor","Bug/","Steel"," 5'11\" | 1.8 m"," 260.1 lbs | 118.0 kg"," Swarm | Technician |"," Bug"," Bug","
			Caution
		"
"213","Shuckle","213","Caves, mountains, beaches","Shuckle live among rocks within cracks and crevices. They secrete a corrosive fluid from their feet that can dissolve holes into boulders, tucking themselves in and withdrawing their limbs for safety in their makeshift shelters. Their shells are made of one of the hardest substances known to man,and can weather most kinds of damage: physical attacks, weather, acids, flames, and electric shocks all fail to scratch their shells. To avoid damage, Shuckle tuck themselves into their shells and remain perfectly still. They subsist on diets of only Berries. One of their most curious properties is their ability to create potent elixirs by fermenting Berries in their shells. When they find Berries, they store some within their shells. They then begin to decompose, ferment, and mix with their own bodily fluids to become a pulpy liquid. Depending on the type of Berries stored, the resulting juice can have a variety of interesting effects. One of the most common is known simply as Berry Juice, replenishing the health of Pokémon who drink it.","​Pokémon and all associated names and characters are trademarked and © 1995-2019 Nintendo. All non-original images are provided by Bulbapedia, © 1995-2019 Nintendo.No copyright infringement intended.","Bug/","Rock",""," 2'00\" | 0.6 m"," 45.2 lbs | 20.5 kg"," Contrary"," Contrary","
			Caution
		"
"214","Heracross","214","Forests","Heracross live within forests, feeding on tree sap and honey. Their most famous features are their large horns, which they use to defend themselves from foes. In battle, Heracross can use their horns to toss foes far away. They dig their sharp claws into tree bark before slipping under the grasps of enemies and sliding their horns underneath. Then, they throw their foes with forces capable of moving objects over a 100 times their body weight. Alternatively, they may charge at foes to frighten them before tossing them away. Heracross take strong pride in their horns. When fighting for territory, dominance or mates, Heracross will engage in duels, horns against horns. The individuals with the larger horns generally emerge as the victors. In Alola, they also compete with Vikavolt in addition to other Heracross. Their exoskeletons are very tough, able to withstand even the strongest blows. Heracross are very docile Pokémon, content doing nothing more than eating tree sap all day. However, they will quickly become aggressive should something interrupt their feeding, and will charge relentlessly at distractions with their horn. Though capable of flight, they are clumsy in the air and can only stay aloft for short periods of time.","​Can Mega Evolve into Mega Heracross","Bug/","Fighting"," 4'11\" | 1.5 m"," 119.0 lbs | 54.0 kg"," Swarm | Guts |"," Bug"," Bug","
			Caution
		"
